variance,frag_score,split,model,eps,district_type
11042493.08624372,7887.495061602652,equal,ToyDown_analytical,1,block_discon
11154242.952915018,7967.316394939292,equal,ToyDown_analytical,1,block_discon
11048569.064893417,7891.835046352449,equal,ToyDown_analytical,1,block_discon
11179644.549250057,7985.460392321471,equal,ToyDown_analytical,1,block_discon
11568049.279265895,8262.892342332774,equal,ToyDown_analytical,1,block_discon
11046315.526736679,7890.225376240477,equal,ToyDown_analytical,1,block_discon
11300442.948314019,8071.744963081445,equal,ToyDown_analytical,1,block_discon
11222920.397482967,8016.371712487829,equal,ToyDown_analytical,1,block_discon
11446859.235887216,8176.328025633719,equal,ToyDown_analytical,1,block_discon
11200311.671430444,8000.222622450317,equal,ToyDown_analytical,1,block_discon
10938689.82088381,7813.349872059855,equal,ToyDown_analytical,1,block_discon
11357491.59518421,8112.493996560162,equal,ToyDown_analytical,1,block_discon
11135795.582688443,7954.139701920319,equal,ToyDown_analytical,1,block_discon
11196217.589918068,7997.298278512911,equal,ToyDown_analytical,1,block_discon
11376854.343123535,8126.324530802531,equal,ToyDown_analytical,1,block_discon
11353949.923574023,8109.964231124304,equal,ToyDown_analytical,1,block_discon
11128206.279642483,7948.7187711732,equal,ToyDown_analytical,1,block_discon
11023721.288831964,7874.086634879967,equal,ToyDown_analytical,1,block_discon
11456402.56912525,8183.144692232332,equal,ToyDown_analytical,1,block_discon
11310339.293857904,8078.813781327064,equal,ToyDown_analytical,1,block_discon
11172480.592383448,7980.343280273883,equal,ToyDown_analytical,1,block_discon
11022640.498346554,7873.314641676112,equal,ToyDown_analytical,1,block_discon
11204960.586562756,8003.543276116247,equal,ToyDown_analytical,1,block_discon
11295618.060856158,8068.298614897252,equal,ToyDown_analytical,1,block_discon
11337290.513871733,8098.0646527655235,equal,ToyDown_analytical,1,block_discon
10842851.838648865,7744.894170463476,equal,ToyDown_analytical,1,block_discon
11314250.906575983,8081.607790411413,equal,ToyDown_analytical,1,block_discon
11065166.67337337,7903.690480980987,equal,ToyDown_analytical,1,block_discon
11200122.286589578,8000.087347563998,equal,ToyDown_analytical,1,block_discon
11066747.081534872,7904.819343953482,equal,ToyDown_analytical,1,block_discon
11225258.585170535,8018.041846550379,equal,ToyDown_analytical,1,block_discon
