CNTYVTD,18R_Governor_D_tot,ValdezD_18R_Governor_pct,WhiteD_18R_Governor_pct,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER*,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP*,HVAP_pct,BVAP_pct,WVAP_pct
1131304,26,0.5769230769230769,0.4230769230769231,4301,2139,1504.0,613.0,5.0,38.0,0.0,2.0,3369.0,1606.0,1300.0,427.0,5.0,30.0,0.0,1.0,0.4766993173048382,0.12674384090234492,0.385871178391214
1131305,20,0.55,0.45,3850,2290,1180.0,331.0,21.0,9.0,0.0,19.0,2819.0,1582.0,986.0,225.0,14.0,6.0,0.0,6.0,0.561191912025541,0.07981553742461868,0.3497694217807733
1131307,2,1.0,0.0,290,179,36.0,64.0,3.0,2.0,0.0,6.0,218.0,128.0,32.0,49.0,3.0,2.0,0.0,4.0,0.5871559633027523,0.22477064220183487,0.14678899082568808
1131308A,40,0.725,0.275,4784,2465,1609.0,589.0,18.0,87.0,1.0,15.0,3633.0,1764.0,1378.0,397.0,13.0,77.0,1.0,3.0,0.4855491329479769,0.10927608037434627,0.3793008532892926
1131309,1,1.0,0.0,496,305,61.0,97.0,4.0,13.0,2.0,14.0,366.0,225.0,45.0,75.0,2.0,11.0,2.0,6.0,0.6147540983606558,0.20491803278688525,0.12295081967213115
1131310,44,0.5,0.5,5937,2645,2484.0,729.0,16.0,34.0,3.0,26.0,4757.0,1935.0,2204.0,564.0,14.0,27.0,3.0,10.0,0.4067689720412024,0.11856211898255205,0.4633172167332352
1131311,54,0.7222222222222222,0.2777777777777778,4717,1685,2044.0,907.0,5.0,62.0,0.0,14.0,3906.0,1270.0,1843.0,731.0,5.0,52.0,0.0,5.0,0.3251408090117768,0.1871479774705581,0.4718381976446493
1131312,13,0.6153846153846154,0.38461538461538464,2092,927,785.0,356.0,8.0,8.0,1.0,7.0,1616.0,682.0,649.0,265.0,8.0,6.0,1.0,5.0,0.422029702970297,0.1639851485148515,0.4016089108910891
1131313,11,0.9090909090909092,0.09090909090909093,532,230,73.0,189.0,0.0,33.0,0.0,7.0,408.0,173.0,58.0,149.0,0.0,25.0,0.0,3.0,0.4240196078431373,0.3651960784313725,0.14215686274509806
1131314,36,0.6944444444444444,0.3055555555555556,5313,2777,1680.0,768.0,3.0,68.0,1.0,16.0,4116.0,2024.0,1474.0,554.0,1.0,58.0,1.0,4.0,0.4917395529640428,0.1345966958211856,0.35811467444120504
1131315,0,0.0,0.0,109,64,40.0,3.0,2.0,0.0,0.0,0.0,96.0,55.0,37.0,3.0,1.0,0.0,0.0,0.0,0.5729166666666666,0.03125,0.3854166666666667
1131316,10,0.9,0.1,1420,819,347.0,218.0,4.0,15.0,1.0,16.0,1015.0,548.0,263.0,175.0,4.0,14.0,1.0,10.0,0.5399014778325123,0.1724137931034483,0.25911330049261083
1131500,158,0.6708860759493671,0.3291139240506329,5480,3145,1687.0,397.0,22.0,154.0,0.0,75.0,4299.0,2362.0,1476.0,300.0,8.0,134.0,0.0,19.0,0.5494301000232612,0.06978367062107467,0.3433356594556874
1131501,171,0.6140350877192983,0.3859649122807017,3782,1407,1861.0,242.0,5.0,212.0,0.0,55.0,3029.0,1022.0,1642.0,180.0,4.0,157.0,0.0,24.0,0.3374050841862001,0.05942555298778475,0.5420931000330141
1131502,166,0.6506024096385542,0.3493975903614458,5299,1267,2345.0,636.0,17.0,954.0,6.0,74.0,4282.0,900.0,2110.0,467.0,13.0,748.0,6.0,38.0,0.21018215787015407,0.10906118636151332,0.492760392340028
1131503,82,0.5487804878048781,0.451219512195122,3814,943,963.0,577.0,5.0,1273.0,4.0,49.0,2999.0,627.0,807.0,425.0,5.0,1104.0,1.0,30.0,0.20906968989663224,0.1417139046348783,0.26908969656552184
1131504,162,0.5864197530864198,0.41358024691358025,2723,377,1611.0,349.0,17.0,317.0,2.0,50.0,2278.0,252.0,1468.0,289.0,12.0,232.0,2.0,23.0,0.1106233538191396,0.12686567164179105,0.6444249341527656
1131700,63,0.7936507936507936,0.20634920634920634,5683,3374,1809.0,431.0,17.0,42.0,0.0,10.0,4333.0,2458.0,1534.0,289.0,12.0,36.0,0.0,4.0,0.5672744057235172,0.06669743826448188,0.35402723286406645
1131701,63,0.7619047619047619,0.2380952380952381,4402,2345,1453.0,301.0,22.0,253.0,2.0,26.0,3570.0,1788.0,1305.0,225.0,17.0,216.0,2.0,17.0,0.5008403361344538,0.06302521008403361,0.3655462184873949
1131702,90,0.6333333333333333,0.36666666666666653,6261,3057,1880.0,518.0,26.0,722.0,0.0,58.0,4922.0,2222.0,1667.0,399.0,22.0,583.0,0.0,29.0,0.4514425030475416,0.0810646078829744,0.3386834620073141
1131703,90,0.6888888888888889,0.3111111111111111,6971,3553,1711.0,687.0,12.0,989.0,0.0,19.0,5490.0,2636.0,1538.0,481.0,11.0,819.0,0.0,5.0,0.4801457194899818,0.08761384335154827,0.2801457194899818
1131704,49,0.7346938775510204,0.2653061224489796,2776,1236,848.0,224.0,5.0,440.0,0.0,23.0,2191.0,896.0,753.0,165.0,2.0,360.0,0.0,15.0,0.4089456869009585,0.07530807850296667,0.34367868553172065
1131705,77,0.7662337662337663,0.23376623376623376,3835,1815,1046.0,446.0,7.0,485.0,0.0,36.0,3029.0,1328.0,930.0,338.0,7.0,404.0,0.0,22.0,0.43842852426543416,0.11158798283261803,0.3070320237702212
1131706,66,0.7272727272727273,0.2727272727272727,8743,5553,1754.0,456.0,15.0,939.0,2.0,24.0,6678.0,4028.0,1552.0,324.0,10.0,750.0,2.0,12.0,0.6031746031746031,0.048517520215633415,0.2324049116501947
1131707,5,1.0,0.0,5512,4002,882.0,277.0,7.0,316.0,0.0,28.0,4089.0,2837.0,743.0,214.0,5.0,274.0,0.0,16.0,0.6938126681340181,0.05233553436047934,0.18170701883101004
1131708,25,0.72,0.28,835,353,378.0,75.0,4.0,23.0,0.0,2.0,709.0,265.0,358.0,58.0,4.0,22.0,0.0,2.0,0.37376586741889983,0.08180535966149506,0.5049365303244006
1131709,134,0.753731343283582,0.2462686567164179,7511,4567,1166.0,1329.0,12.0,415.0,5.0,17.0,5738.0,3381.0,999.0,1012.0,11.0,326.0,5.0,4.0,0.5892296967584524,0.1763680724991286,0.17410247472987106
1131710,87,0.8735632183908046,0.1264367816091954,4067,3127,273.0,631.0,8.0,14.0,1.0,13.0,3051.0,2320.0,195.0,517.0,6.0,8.0,1.0,4.0,0.7604064241232383,0.16945263847918715,0.063913470993117
1131711,52,0.8269230769230769,0.17307692307692307,6523,4239,1953.0,287.0,21.0,17.0,1.0,5.0,5219.0,3204.0,1759.0,220.0,18.0,15.0,1.0,2.0,0.6139107108641502,0.042153669285303695,0.3370377466947691
1131712A,74,0.6621621621621622,0.33783783783783783,3534,1368,1893.0,209.0,9.0,26.0,0.0,29.0,2921.0,1019.0,1696.0,160.0,9.0,25.0,0.0,12.0,0.3488531324888737,0.054775761725436495,0.5806230742896269
1131713,17,0.5882352941176471,0.4117647058823529,2427,1268,1044.0,91.0,12.0,1.0,0.0,11.0,1986.0,959.0,941.0,69.0,12.0,1.0,0.0,4.0,0.4828801611278953,0.03474320241691843,0.4738167170191339
1131714,55,0.6,0.4,5314,3005,2011.0,236.0,11.0,28.0,1.0,22.0,4185.0,2206.0,1761.0,172.0,9.0,26.0,1.0,10.0,0.527120669056153,0.041099163679808835,0.4207885304659498
1131715,33,0.6363636363636364,0.3636363636363637,4683,3242,1166.0,234.0,7.0,18.0,2.0,14.0,3423.0,2237.0,1003.0,151.0,6.0,17.0,2.0,7.0,0.6535203038270523,0.04411335086181712,0.2930178206251826
1131716,97,0.5360824742268041,0.4639175257731959,2908,455,2107.0,244.0,14.0,56.0,1.0,31.0,2625.0,341.0,1999.0,200.0,12.0,50.0,1.0,22.0,0.1299047619047619,0.0761904761904762,0.7615238095238095
1131717,103,0.7378640776699029,0.2621359223300971,6612,3062,2053.0,1298.0,16.0,137.0,0.0,46.0,5344.0,2323.0,1856.0,1027.0,12.0,111.0,0.0,15.0,0.4346931137724551,0.19217814371257488,0.3473053892215569
1131718,54,0.6666666666666666,0.3333333333333333,2890,1282,1376.0,173.0,18.0,27.0,1.0,13.0,2380.0,920.0,1276.0,142.0,11.0,24.0,1.0,6.0,0.3865546218487395,0.05966386554621849,0.5361344537815126
1131719,49,0.7755102040816326,0.22448979591836732,5647,2751,1933.0,832.0,33.0,74.0,2.0,22.0,4469.0,2010.0,1719.0,635.0,22.0,63.0,2.0,18.0,0.4497650481091967,0.14208995300962185,0.3846498098008503
1131720,101,0.7128712871287128,0.2871287128712871,4984,2054,2079.0,720.0,13.0,101.0,2.0,15.0,4181.0,1605.0,1895.0,573.0,8.0,88.0,2.0,10.0,0.3838794546759148,0.1370485529777565,0.45324085147094
1131721,101,0.5643564356435643,0.4356435643564357,4117,1390,2155.0,458.0,13.0,95.0,1.0,5.0,3438.0,1057.0,1918.0,363.0,12.0,85.0,1.0,2.0,0.3074461896451425,0.1055846422338569,0.5578824898196626
1131722,85,0.6470588235294118,0.35294117647058826,6005,2934,1630.0,1167.0,15.0,216.0,1.0,42.0,4550.0,2111.0,1385.0,858.0,14.0,171.0,1.0,10.0,0.463956043956044,0.18857142857142856,0.3043956043956044
1131723,7,0.7142857142857143,0.2857142857142857,628,332,119.0,163.0,0.0,11.0,0.0,3.0,463.0,224.0,101.0,127.0,0.0,10.0,0.0,1.0,0.4838012958963283,0.2742980561555076,0.21814254859611232
1131724,1,0.0,1.0,270,154,66.0,48.0,1.0,0.0,0.0,1.0,206.0,111.0,55.0,38.0,1.0,0.0,0.0,1.0,0.5388349514563107,0.18446601941747573,0.2669902912621359
1131725,19,0.5263157894736842,0.4736842105263158,557,119,392.0,22.0,1.0,19.0,0.0,4.0,472.0,78.0,355.0,18.0,1.0,19.0,0.0,1.0,0.1652542372881356,0.03813559322033898,0.7521186440677966
1131726,44,0.4772727272727273,0.5227272727272727,4733,2458,1788.0,381.0,10.0,74.0,0.0,22.0,3777.0,1828.0,1586.0,297.0,9.0,52.0,0.0,5.0,0.4839819962933545,0.07863383637807785,0.41990998146677255
1131727,9,0.8888888888888888,0.1111111111111111,574,308,223.0,34.0,1.0,1.0,0.0,7.0,467.0,234.0,200.0,29.0,1.0,1.0,0.0,2.0,0.5010706638115632,0.062098501070663815,0.4282655246252677
1131728,33,0.5757575757575758,0.42424242424242425,3169,1626,1237.0,207.0,20.0,54.0,2.0,23.0,2562.0,1241.0,1098.0,154.0,12.0,44.0,2.0,11.0,0.4843871975019516,0.060109289617486336,0.42857142857142855
1131729,46,0.6304347826086957,0.3695652173913043,4564,2784,1083.0,441.0,7.0,241.0,4.0,4.0,3422.0,2044.0,897.0,311.0,6.0,159.0,3.0,2.0,0.5973115137346581,0.09088252483927528,0.2621274108708357
1132000,0,0.0,0.0,157,134,22.0,0.0,0.0,1.0,0.0,0.0,142.0,119.0,22.0,0.0,0.0,1.0,0.0,0.0,0.8380281690140845,0.0,0.15492957746478872
1132001,1,0.0,1.0,127,81,45.0,0.0,0.0,0.0,1.0,0.0,104.0,58.0,45.0,0.0,0.0,0.0,1.0,0.0,0.5576923076923077,0.0,0.4326923076923077
1132002,80,0.7125,0.2875,2388,951,1209.0,125.0,13.0,63.0,0.0,27.0,2086.0,782.0,1134.0,105.0,9.0,56.0,0.0,0.0,0.3748801534036433,0.050335570469798654,0.5436241610738255
1132003,140,0.4071428571428571,0.5928571428571429,4840,1567,2877.0,237.0,12.0,107.0,0.0,40.0,4080.0,1163.0,2612.0,179.0,10.0,93.0,0.0,23.0,0.2850490196078431,0.04387254901960784,0.6401960784313725
1132004,75,0.37333333333333335,0.6266666666666667,2361,424,1698.0,122.0,16.0,79.0,0.0,22.0,2004.0,296.0,1524.0,91.0,13.0,67.0,0.0,13.0,0.14770459081836326,0.04540918163672655,0.7604790419161677
1132005,76,0.7894736842105263,0.21052631578947367,1246,261,909.0,48.0,4.0,19.0,0.0,5.0,1105.0,220.0,828.0,37.0,3.0,15.0,0.0,2.0,0.1990950226244344,0.0334841628959276,0.7493212669683258
1132006,115,0.4608695652173913,0.5391304347826087,1970,214,1669.0,42.0,4.0,28.0,2.0,11.0,1789.0,184.0,1530.0,37.0,4.0,24.0,2.0,8.0,0.1028507546115148,0.02068194522079374,0.8552263834544438
1132007,248,0.3790322580645161,0.6209677419354839,3326,147,3009.0,23.0,4.0,87.0,1.0,55.0,2930.0,114.0,2697.0,21.0,2.0,70.0,1.0,25.0,0.03890784982935153,0.0071672354948805455,0.9204778156996588
1132008,126,0.4603174603174603,0.5396825396825397,1754,63,1571.0,21.0,11.0,59.0,0.0,29.0,1521.0,48.0,1383.0,16.0,10.0,47.0,0.0,17.0,0.03155818540433925,0.01051939513477975,0.9092702169625246
1132009,137,0.5328467153284672,0.4671532846715328,2501,507,1877.0,55.0,8.0,38.0,0.0,16.0,2192.0,412.0,1693.0,41.0,8.0,24.0,0.0,14.0,0.18795620437956204,0.0187043795620438,0.7723540145985401
1132010,97,0.6185567010309279,0.38144329896907214,1696,230,1355.0,32.0,6.0,51.0,0.0,22.0,1473.0,173.0,1222.0,21.0,4.0,42.0,0.0,11.0,0.11744738628649015,0.014256619144602854,0.8295994568906992
1132011,151,0.4966887417218543,0.5033112582781457,2441,325,1954.0,27.0,11.0,76.0,1.0,47.0,2138.0,255.0,1764.0,21.0,10.0,62.0,1.0,25.0,0.11927034611786715,0.009822263797942002,0.8250701590271281
1132012,121,0.4793388429752066,0.5206611570247934,1797,377,1360.0,22.0,3.0,24.0,0.0,11.0,1658.0,323.0,1278.0,21.0,2.0,23.0,0.0,11.0,0.1948130277442702,0.012665862484921592,0.7708082026537998
1132013,78,0.3974358974358974,0.6025641025641025,1292,75,1130.0,6.0,2.0,47.0,0.0,32.0,1138.0,62.0,1009.0,6.0,2.0,40.0,0.0,19.0,0.054481546572934976,0.005272407732864675,0.8866432337434095
1132014,34,0.2352941176470588,0.7647058823529411,778,39,706.0,12.0,1.0,17.0,0.0,3.0,694.0,31.0,635.0,10.0,1.0,16.0,0.0,1.0,0.0446685878962536,0.01440922190201729,0.914985590778098
1132015,55,0.5818181818181818,0.41818181818181815,2248,1039,972.0,169.0,6.0,20.0,4.0,38.0,1753.0,702.0,884.0,122.0,4.0,17.0,3.0,21.0,0.4004563605248146,0.06959498003422704,0.5042783799201369
1132016,285,0.4666666666666667,0.5333333333333333,4669,556,3764.0,100.0,0.0,239.0,1.0,9.0,4333.0,477.0,3547.0,83.0,0.0,223.0,0.0,3.0,0.11008539118393723,0.019155319639972305,0.8186014308792984
1132017,57,0.6842105263157895,0.3157894736842105,1505,575,572.0,183.0,7.0,133.0,1.0,34.0,1295.0,462.0,537.0,144.0,7.0,119.0,1.0,25.0,0.3567567567567568,0.1111969111969112,0.4146718146718147
1132018,69,0.3623188405797101,0.6376811594202898,1113,54,1002.0,6.0,8.0,35.0,2.0,6.0,956.0,20.0,896.0,4.0,5.0,26.0,2.0,3.0,0.02092050209205021,0.0041841004184100415,0.9372384937238494
1132019,137,0.39416058394160586,0.6058394160583942,1987,100,1784.0,15.0,1.0,69.0,0.0,18.0,1743.0,72.0,1592.0,13.0,1.0,54.0,0.0,11.0,0.04130808950086059,0.007458405048766496,0.9133677567412508
1132020,300,0.5666666666666667,0.43333333333333335,3682,744,2664.0,130.0,5.0,72.0,1.0,66.0,3294.0,600.0,2478.0,104.0,5.0,57.0,1.0,49.0,0.18214936247723126,0.031572556162720096,0.7522768670309654
1132021,234,0.4572649572649573,0.5427350427350427,4171,238,3640.0,39.0,5.0,190.0,1.0,58.0,3633.0,191.0,3230.0,28.0,4.0,151.0,1.0,28.0,0.05257363060831269,0.007707129094412331,0.8890723919625654
1132022,77,0.42857142857142855,0.5714285714285714,788,26,720.0,6.0,9.0,25.0,0.0,2.0,669.0,21.0,623.0,0.0,5.0,20.0,0.0,0.0,0.03139013452914798,0.0,0.9312406576980568
1132023,103,0.5728155339805825,0.4271844660194175,1738,359,1272.0,63.0,1.0,24.0,0.0,19.0,1623.0,319.0,1210.0,60.0,1.0,24.0,0.0,9.0,0.19654959950708564,0.03696857670979668,0.7455329636475663
1132024,112,0.5267857142857143,0.4732142857142857,1583,172,1314.0,38.0,3.0,44.0,0.0,12.0,1427.0,150.0,1196.0,32.0,3.0,42.0,0.0,4.0,0.1051156271899089,0.02242466713384723,0.8381219341275403
1132025,207,0.3961352657004831,0.6038647342995169,2544,210,2249.0,17.0,9.0,49.0,0.0,10.0,2329.0,182.0,2082.0,14.0,7.0,40.0,0.0,4.0,0.0781451266638042,0.0060111635895234005,0.8939458995276943
1132026,169,0.4733727810650887,0.5266272189349113,3313,258,2915.0,30.0,2.0,84.0,0.0,24.0,2912.0,230.0,2579.0,25.0,2.0,62.0,0.0,14.0,0.07898351648351648,0.008585164835164836,0.8856456043956044
1132027,99,0.4848484848484849,0.5151515151515151,1806,115,1569.0,51.0,10.0,54.0,0.0,7.0,1685.0,86.0,1486.0,46.0,10.0,50.0,0.0,7.0,0.05103857566765579,0.02729970326409496,0.8818991097922849
1132028A,0,0.0,0.0,5,0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1132029,93,0.3548387096774194,0.6451612903225806,1929,58,1817.0,8.0,6.0,24.0,1.0,15.0,1700.0,45.0,1618.0,6.0,3.0,20.0,1.0,7.0,0.026470588235294117,0.003529411764705883,0.9517647058823531
1132030,74,0.40540540540540543,0.5945945945945946,2421,113,2230.0,18.0,1.0,53.0,0.0,6.0,2033.0,97.0,1880.0,16.0,1.0,37.0,0.0,2.0,0.04771273979340875,0.007870142646335464,0.9247417609444172
1132031,161,0.6956521739130435,0.3043478260869565,6077,2111,3235.0,307.0,11.0,371.0,4.0,38.0,5544.0,1870.0,3061.0,259.0,11.0,304.0,4.0,35.0,0.3373015873015873,0.04671717171717172,0.5521284271284271
1132032,86,0.6395348837209303,0.36046511627906974,4128,1366,2012.0,214.0,5.0,481.0,0.0,50.0,3704.0,1205.0,1854.0,195.0,5.0,399.0,0.0,46.0,0.3253239740820734,0.052645788336933036,0.5005399568034558
1132033,125,0.544,0.456,1860,734,819.0,201.0,13.0,80.0,0.0,13.0,1572.0,573.0,746.0,154.0,10.0,77.0,0.0,12.0,0.3645038167938932,0.0979643765903308,0.4745547073791349
1132034,141,0.2907801418439716,0.7092198581560284,1854,103,1624.0,43.0,8.0,55.0,1.0,20.0,1635.0,90.0,1435.0,40.0,6.0,48.0,1.0,15.0,0.05504587155963303,0.024464831804281342,0.8776758409785933
1132035,78,0.6410256410256411,0.35897435897435903,2363,678,1387.0,154.0,14.0,115.0,1.0,14.0,2020.0,542.0,1213.0,131.0,12.0,110.0,1.0,11.0,0.26831683168316833,0.06485148514851485,0.6004950495049505
1132036,201,0.5621890547263682,0.4378109452736319,2782,342,2275.0,75.0,14.0,60.0,0.0,16.0,2574.0,299.0,2135.0,63.0,14.0,55.0,0.0,8.0,0.11616161616161615,0.024475524475524483,0.8294483294483295
1132037,32,0.59375,0.40625,1100,461,552.0,31.0,3.0,40.0,0.0,13.0,987.0,375.0,526.0,31.0,3.0,40.0,0.0,12.0,0.3799392097264438,0.031408308004052685,0.5329280648429585
1132038,295,0.5220338983050847,0.4779661016949153,4080,840,2953.0,91.0,10.0,156.0,3.0,27.0,3720.0,743.0,2721.0,81.0,10.0,143.0,3.0,19.0,0.19973118279569893,0.021774193548387097,0.7314516129032258
1132039,279,0.5412186379928315,0.4587813620071685,3409,635,2580.0,48.0,18.0,80.0,0.0,48.0,3087.0,537.0,2381.0,45.0,14.0,70.0,0.0,40.0,0.17395529640427598,0.01457725947521866,0.7712989957887917
1132040,144,0.4791666666666667,0.5208333333333334,1879,243,1556.0,17.0,10.0,42.0,1.0,10.0,1668.0,193.0,1415.0,15.0,8.0,33.0,0.0,4.0,0.1157074340527578,0.008992805755395683,0.8483213429256595
1132041,147,0.5238095238095238,0.4761904761904762,4618,1408,2673.0,257.0,10.0,214.0,1.0,55.0,3822.0,1030.0,2348.0,205.0,10.0,186.0,1.0,42.0,0.26949241234955523,0.053636839351125065,0.6143380429094715
1132042,351,0.4387464387464388,0.5612535612535613,3574,476,2801.0,77.0,2.0,198.0,6.0,14.0,3094.0,333.0,2512.0,63.0,2.0,172.0,3.0,9.0,0.10762766645119587,0.020361990950226245,0.8118939883645766
1132043,180,0.5333333333333333,0.4666666666666667,2783,257,2335.0,64.0,3.0,123.0,0.0,1.0,2437.0,195.0,2086.0,50.0,2.0,104.0,0.0,0.0,0.08001641362330733,0.02051702913418137,0.8559704554780467
1132044,74,0.4594594594594595,0.5405405405405406,1353,165,1033.0,32.0,6.0,105.0,3.0,9.0,1172.0,126.0,922.0,29.0,6.0,82.0,2.0,5.0,0.1075085324232082,0.02474402730375427,0.7866894197952219
1132045,201,0.5024875621890548,0.4975124378109453,2151,440,1538.0,57.0,8.0,99.0,0.0,9.0,1856.0,312.0,1397.0,47.0,7.0,87.0,0.0,6.0,0.16810344827586207,0.025323275862068964,0.7526939655172413
1132046,155,0.5419354838709678,0.4580645161290322,2269,298,1863.0,14.0,7.0,71.0,0.0,16.0,1940.0,216.0,1635.0,14.0,5.0,68.0,0.0,2.0,0.11134020618556703,0.007216494845360825,0.8427835051546392
1132047,163,0.5337423312883436,0.4662576687116564,3027,552,2189.0,139.0,9.0,106.0,0.0,32.0,2605.0,409.0,1971.0,115.0,7.0,94.0,0.0,9.0,0.15700575815738962,0.04414587332053743,0.7566218809980806
1132048,98,0.6020408163265306,0.3979591836734694,6507,2603,2685.0,897.0,15.0,253.0,5.0,49.0,5618.0,2075.0,2477.0,777.0,13.0,239.0,5.0,32.0,0.3693485226059096,0.13830544677821288,0.4409042363830545
1132049,134,0.4328358208955224,0.5671641791044776,2117,493,1375.0,132.0,8.0,99.0,3.0,7.0,1946.0,438.0,1297.0,111.0,8.0,89.0,1.0,2.0,0.2250770811921891,0.05704008221993834,0.6664953751284687
1132050,122,0.5737704918032787,0.4262295081967213,3187,1026,1831.0,201.0,7.0,74.0,1.0,47.0,2615.0,716.0,1643.0,162.0,7.0,67.0,0.0,20.0,0.27380497131931164,0.061950286806883366,0.6282982791586998
1132051,207,0.5652173913043478,0.43478260869565216,3370,585,2566.0,143.0,8.0,50.0,0.0,18.0,2854.0,424.0,2274.0,100.0,8.0,45.0,0.0,3.0,0.14856341976173792,0.0350385423966363,0.7967764540995095
1132052,82,0.5243902439024389,0.475609756097561,1707,69,1552.0,27.0,0.0,42.0,0.0,17.0,1532.0,61.0,1395.0,24.0,0.0,37.0,0.0,15.0,0.03981723237597911,0.015665796344647518,0.9105744125326372
1132053,57,0.6842105263157895,0.3157894736842105,5072,2967,1343.0,434.0,9.0,231.0,1.0,87.0,4152.0,2365.0,1156.0,337.0,9.0,205.0,1.0,79.0,0.5696050096339114,0.08116570327552987,0.27842003853564545
1132054,70,0.7142857142857143,0.2857142857142857,7577,3939,2246.0,918.0,11.0,207.0,1.0,255.0,6121.0,3035.0,2072.0,651.0,9.0,182.0,1.0,171.0,0.4958340140499918,0.10635517072373796,0.3385067799379187
1132055,38,0.5526315789473685,0.4473684210526316,5230,3407,1161.0,513.0,8.0,84.0,1.0,56.0,3985.0,2480.0,1016.0,381.0,7.0,75.0,1.0,25.0,0.6223337515683814,0.09560853199498118,0.2549560853199498
1132056,89,0.5168539325842697,0.4831460674157304,1455,122,1198.0,31.0,6.0,92.0,0.0,6.0,1309.0,96.0,1104.0,25.0,6.0,72.0,0.0,6.0,0.07333842627960276,0.019098548510313212,0.8433919022154316
1132057,45,0.6,0.4,598,78,482.0,19.0,4.0,14.0,0.0,1.0,538.0,67.0,437.0,16.0,4.0,13.0,0.0,1.0,0.12453531598513012,0.02973977695167286,0.8122676579925651
1132058,69,0.6086956521739131,0.39130434782608703,1307,400,726.0,103.0,4.0,62.0,0.0,12.0,1168.0,331.0,678.0,89.0,4.0,60.0,0.0,6.0,0.2833904109589041,0.0761986301369863,0.5804794520547946
1132059,61,0.4098360655737705,0.5901639344262295,1985,471,1303.0,185.0,3.0,20.0,0.0,3.0,1686.0,365.0,1150.0,150.0,3.0,18.0,0.0,0.0,0.21648873072360614,0.08896797153024913,0.6820877817319099
1132060,124,0.4112903225806452,0.5887096774193549,4068,981,2858.0,172.0,10.0,39.0,0.0,8.0,3375.0,684.0,2519.0,127.0,10.0,32.0,0.0,3.0,0.20266666666666666,0.03762962962962963,0.7463703703703704
1132061,148,0.4932432432432433,0.5067567567567568,3913,798,2741.0,287.0,9.0,59.0,2.0,17.0,3290.0,568.0,2417.0,240.0,7.0,48.0,2.0,8.0,0.17264437689969606,0.0729483282674772,0.7346504559270517
1132062,119,0.5126050420168067,0.4873949579831933,2204,235,1867.0,32.0,7.0,39.0,2.0,22.0,1958.0,174.0,1708.0,25.0,4.0,37.0,2.0,8.0,0.0888661899897855,0.012768130745658836,0.8723186925434117
1132063,49,0.6734693877551021,0.32653061224489793,1088,173,891.0,9.0,0.0,9.0,0.0,6.0,950.0,124.0,804.0,9.0,0.0,9.0,0.0,4.0,0.13052631578947368,0.009473684210526316,0.8463157894736842
1132064,140,0.5571428571428572,0.4428571428571429,3467,989,1733.0,386.0,10.0,338.0,0.0,11.0,2928.0,759.0,1598.0,302.0,7.0,259.0,0.0,3.0,0.25922131147540983,0.10314207650273224,0.5457650273224044
1132065,206,0.587378640776699,0.41262135922330095,2949,685,2012.0,188.0,11.0,37.0,2.0,14.0,2629.0,557.0,1865.0,162.0,9.0,29.0,2.0,5.0,0.2118676302776721,0.061620387980220626,0.7093952073031571
1132066,91,0.5494505494505495,0.4505494505494506,1823,240,1446.0,102.0,4.0,29.0,0.0,2.0,1634.0,209.0,1297.0,95.0,3.0,28.0,0.0,2.0,0.12790697674418605,0.05813953488372092,0.7937576499388005
1132067,91,0.4945054945054945,0.5054945054945055,1325,202,1023.0,74.0,1.0,20.0,0.0,5.0,1204.0,158.0,952.0,70.0,1.0,18.0,0.0,5.0,0.13122923588039867,0.05813953488372092,0.7906976744186046
1132068,261,0.6283524904214559,0.3716475095785441,3631,1022,2277.0,205.0,16.0,72.0,0.0,39.0,3155.0,784.0,2126.0,144.0,13.0,64.0,0.0,24.0,0.24849445324881145,0.045641838351822506,0.6738510301109351
1132069,335,0.5164179104477612,0.4835820895522388,3215,434,2657.0,29.0,9.0,54.0,0.0,32.0,2885.0,339.0,2444.0,29.0,6.0,49.0,0.0,18.0,0.1175043327556326,0.010051993067590987,0.8471403812824957
1132070,109,0.4954128440366973,0.5045871559633027,2083,193,1807.0,17.0,2.0,41.0,0.0,23.0,1850.0,160.0,1622.0,17.0,2.0,34.0,0.0,15.0,0.08648648648648649,0.009189189189189187,0.8767567567567568
1132071,228,0.4649122807017544,0.5350877192982456,1791,183,1541.0,14.0,8.0,35.0,0.0,10.0,1512.0,138.0,1320.0,13.0,7.0,30.0,0.0,4.0,0.09126984126984126,0.008597883597883597,0.873015873015873
1132072,230,0.491304347826087,0.508695652173913,3641,563,2907.0,53.0,2.0,65.0,1.0,50.0,3105.0,437.0,2544.0,51.0,2.0,51.0,1.0,19.0,0.14074074074074075,0.01642512077294686,0.8193236714975846
1132073,114,0.5,0.5,1375,144,1173.0,23.0,2.0,25.0,0.0,8.0,1278.0,118.0,1106.0,21.0,2.0,23.0,0.0,8.0,0.09233176838810643,0.01643192488262911,0.865414710485133
1132076,0,0.0,0.0,36,3,33.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666
