CNTYVTD,18R_Governor_D_tot,ValdezD_18R_Governor_pct,WhiteD_18R_Governor_pct,TOTPOP,HISP,NH_WHITE,NH_BLACK,NH_AMIN,NH_ASIAN,NH_NHPI,NH_OTHER*,VAP,HVAP,WVAP,BVAP,AMINVAP,ASIANVAP,NHPIVAP,OTHERVAP*,HVAP_pct,BVAP_pct,WVAP_pct
1131073,221,0.669683257918552,0.330316742081448,6214,4586,1224.0,258.0,12.0,71.0,13.0,50.0,4966.0,3522.0,1093.0,222.0,11.0,64.0,10.0,44.0,0.7092227144583165,0.044703987112364084,0.22009665726943212
1131074,74,0.7702702702702703,0.2297297297297297,3460,3114,271.0,42.0,23.0,7.0,0.0,3.0,2671.0,2357.0,260.0,33.0,16.0,4.0,0.0,1.0,0.8824410333208537,0.012354923249719206,0.09734181954324224
1131075A,116,0.5689655172413793,0.4310344827586207,2209,1230,678.0,202.0,10.0,62.0,2.0,25.0,1775.0,902.0,627.0,161.0,10.0,52.0,2.0,21.0,0.508169014084507,0.09070422535211267,0.3532394366197183
1131076,190,0.5263157894736842,0.4736842105263158,3016,807,2038.0,123.0,6.0,21.0,0.0,21.0,2574.0,614.0,1828.0,98.0,6.0,19.0,0.0,9.0,0.2385392385392385,0.03807303807303807,0.7101787101787101
1131078,24,0.7083333333333334,0.2916666666666667,3670,2411,236.0,976.0,16.0,20.0,0.0,11.0,2641.0,1658.0,199.0,752.0,8.0,18.0,0.0,6.0,0.6277925028398333,0.28474062854979176,0.07535024611889436
1131079,79,0.6329113924050633,0.3670886075949367,3913,2059,1070.0,749.0,12.0,18.0,0.0,5.0,3036.0,1518.0,994.0,491.0,11.0,18.0,0.0,4.0,0.5,0.16172595520421607,0.32740447957839264
1131080,14,0.8571428571428571,0.14285714285714285,2113,1065,260.0,762.0,4.0,5.0,0.0,17.0,1593.0,775.0,238.0,563.0,4.0,5.0,0.0,8.0,0.4865034526051476,0.3534212178279975,0.14940364092906466
1131081,224,0.7142857142857143,0.2857142857142857,5674,2337,2042.0,1196.0,17.0,68.0,0.0,14.0,4859.0,1829.0,1941.0,1015.0,10.0,55.0,0.0,9.0,0.3764149001852233,0.20889071825478492,0.3994649104754064
1131082,4,0.75,0.25,992,734,152.0,100.0,1.0,3.0,0.0,2.0,827.0,589.0,150.0,82.0,1.0,3.0,0.0,2.0,0.7122128174123338,0.09915356711003627,0.18137847642079807
1131083,55,0.8181818181818182,0.18181818181818185,5049,3884,885.0,235.0,12.0,19.0,1.0,13.0,4039.0,2970.0,831.0,199.0,10.0,18.0,1.0,10.0,0.735330527358257,0.049269621193364685,0.20574399603862345
1131084,330,0.6757575757575758,0.3242424242424242,4451,1693,1003.0,1669.0,14.0,48.0,0.0,24.0,3777.0,1329.0,947.0,1446.0,10.0,38.0,0.0,7.0,0.35186656076250994,0.38284352660841936,0.2507280910775748
1131085,30,0.8,0.2,3972,3228,608.0,123.0,1.0,6.0,0.0,6.0,3191.0,2517.0,565.0,98.0,1.0,6.0,0.0,4.0,0.7887809464117831,0.03071137574428079,0.17706048260733312
1131086,23,0.39130434782608703,0.6086956521739131,1142,595,199.0,336.0,4.0,6.0,0.0,2.0,920.0,441.0,194.0,276.0,4.0,4.0,0.0,1.0,0.4793478260869565,0.3,0.2108695652173913
1131087A,211,0.6824644549763034,0.3175355450236967,7329,3976,678.0,2415.0,9.0,175.0,0.0,76.0,5726.0,2911.0,630.0,1966.0,4.0,153.0,0.0,62.0,0.508382815228781,0.3433461404121551,0.1100244498777506
1131088,48,0.8125,0.1875,6051,4488,836.0,678.0,17.0,19.0,0.0,13.0,4753.0,3396.0,785.0,535.0,16.0,18.0,0.0,3.0,0.7144961077214391,0.11256048811277088,0.16515884704397224
1131089,51,0.8235294117647058,0.17647058823529413,3528,1991,204.0,1279.0,3.0,43.0,1.0,7.0,2513.0,1381.0,183.0,911.0,2.0,34.0,1.0,1.0,0.5495423796259451,0.3625149224035018,0.07282132908873856
1131090,65,0.676923076923077,0.3230769230769231,5557,3736,664.0,1124.0,6.0,14.0,0.0,13.0,4209.0,2733.0,600.0,860.0,4.0,9.0,0.0,3.0,0.6493228795438346,0.2043240674744595,0.14255167498218105
1131091,60,0.7666666666666667,0.2333333333333333,5896,3583,904.0,1359.0,18.0,20.0,0.0,12.0,4659.0,2674.0,868.0,1085.0,14.0,12.0,0.0,6.0,0.5739429062030479,0.2328825928310796,0.1863060742648637
1131092,85,0.7058823529411765,0.29411764705882354,8999,5060,1058.0,2813.0,18.0,37.0,0.0,13.0,6968.0,3677.0,916.0,2325.0,13.0,34.0,0.0,3.0,0.5276980482204363,0.33366819747416765,0.1314580941446613
1131093,55,0.6181818181818182,0.3818181818181817,3550,2334,202.0,966.0,3.0,29.0,0.0,16.0,2677.0,1707.0,181.0,753.0,2.0,25.0,0.0,9.0,0.6376540903997011,0.2812850205453866,0.06761299962644751
1131094,41,0.7317073170731707,0.2682926829268293,3543,2434,229.0,850.0,6.0,6.0,0.0,18.0,2581.0,1672.0,207.0,689.0,5.0,6.0,0.0,2.0,0.6478109259976753,0.26695079426578844,0.08020147229755907
1131095,40,0.65,0.35,3444,2515,392.0,518.0,5.0,11.0,0.0,3.0,2663.0,1876.0,357.0,415.0,4.0,9.0,0.0,2.0,0.7044686443860307,0.15583927900863687,0.13405933158092376
1131096,29,0.7241379310344828,0.27586206896551724,4186,3362,446.0,347.0,8.0,6.0,0.0,17.0,3169.0,2456.0,424.0,271.0,6.0,3.0,0.0,9.0,0.7750078889239508,0.08551593562638056,0.133796150205112
1131097,66,0.6515151515151515,0.3484848484848485,6717,4576,927.0,1184.0,11.0,9.0,0.0,10.0,5207.0,3376.0,870.0,933.0,10.0,9.0,0.0,9.0,0.6483579796427885,0.17918187055886306,0.1670827731899366
1131098,53,0.7924528301886793,0.2075471698113208,5000,3166,504.0,1323.0,3.0,2.0,0.0,2.0,3876.0,2334.0,490.0,1045.0,3.0,2.0,0.0,2.0,0.6021671826625387,0.2696078431372549,0.1264189886480908
1131099,2,0.0,1.0,206,149,23.0,29.0,2.0,0.0,1.0,2.0,170.0,118.0,22.0,25.0,2.0,0.0,1.0,2.0,0.6941176470588235,0.14705882352941174,0.12941176470588234
1131100,92,0.7717391304347826,0.22826086956521735,7804,4574,177.0,3026.0,8.0,12.0,0.0,7.0,6185.0,3426.0,163.0,2574.0,6.0,11.0,0.0,5.0,0.5539207760711399,0.4161681487469685,0.02635408245755861
1131101,27,0.8148148148148148,0.1851851851851852,5502,4547,571.0,364.0,14.0,2.0,1.0,3.0,4194.0,3347.0,534.0,301.0,8.0,2.0,1.0,1.0,0.7980448259418217,0.07176919408679065,0.12732474964234622
1131102,33,0.8787878787878788,0.12121212121212123,6059,4504,998.0,531.0,12.0,11.0,0.0,3.0,4592.0,3272.0,902.0,399.0,7.0,11.0,0.0,1.0,0.7125435540069687,0.08689024390243902,0.19642857142857145
1131103,12,1.0,0.0,1422,902,192.0,323.0,2.0,3.0,0.0,0.0,1120.0,681.0,178.0,256.0,2.0,3.0,0.0,0.0,0.6080357142857142,0.22857142857142854,0.15892857142857142
1131104,37,0.7837837837837838,0.21621621621621626,6481,3941,651.0,1860.0,9.0,13.0,0.0,7.0,5003.0,2897.0,582.0,1506.0,9.0,8.0,0.0,1.0,0.5790525684589246,0.30101938836697983,0.11633020187887268
1131105,4,1.0,0.0,175,99,11.0,65.0,0.0,0.0,0.0,0.0,162.0,94.0,11.0,57.0,0.0,0.0,0.0,0.0,0.5802469135802469,0.35185185185185186,0.06790123456790123
1131106,1,1.0,0.0,699,472,111.0,115.0,1.0,0.0,0.0,0.0,536.0,353.0,100.0,82.0,1.0,0.0,0.0,0.0,0.6585820895522388,0.15298507462686567,0.1865671641791045
1131107,23,0.8260869565217391,0.17391304347826084,2058,1491,352.0,196.0,6.0,9.0,2.0,2.0,1573.0,1109.0,314.0,133.0,6.0,8.0,2.0,1.0,0.7050222504767959,0.0845518118245391,0.19961856325492688
1131108,70,0.7571428571428571,0.24285714285714285,6340,4274,763.0,1267.0,6.0,1.0,0.0,29.0,4920.0,3209.0,682.0,999.0,4.0,1.0,0.0,25.0,0.6522357723577236,0.2030487804878049,0.13861788617886178
1131109,2,0.5,0.5,2159,1724,303.0,114.0,7.0,7.0,0.0,4.0,1688.0,1315.0,275.0,87.0,7.0,3.0,0.0,1.0,0.7790284360189573,0.05154028436018957,0.16291469194312794
1131110,0,0.0,0.0,100,79,15.0,4.0,2.0,0.0,0.0,0.0,75.0,57.0,13.0,3.0,2.0,0.0,0.0,0.0,0.76,0.04,0.17333333333333334
1131111,20,0.8,0.2,3639,2525,603.0,481.0,10.0,8.0,0.0,12.0,2729.0,1814.0,526.0,370.0,9.0,8.0,0.0,2.0,0.6647123488457309,0.1355807988274093,0.19274459508977648
1131112,26,0.8846153846153846,0.1153846153846154,1273,1022,36.0,213.0,0.0,1.0,0.0,1.0,978.0,759.0,33.0,184.0,0.0,1.0,0.0,1.0,0.7760736196319018,0.18813905930470348,0.033742331288343565
1131113,3,0.6666666666666666,0.3333333333333333,698,516,44.0,137.0,0.0,0.0,0.0,1.0,485.0,338.0,44.0,102.0,0.0,0.0,0.0,1.0,0.6969072164948453,0.21030927835051547,0.09072164948453608
1131114,13,0.8461538461538461,0.15384615384615385,1314,763,140.0,389.0,6.0,11.0,1.0,4.0,1028.0,556.0,134.0,323.0,5.0,7.0,1.0,2.0,0.5408560311284046,0.3142023346303502,0.1303501945525292
1131115,47,0.7659574468085106,0.23404255319148934,2971,1868,819.0,241.0,6.0,28.0,2.0,7.0,2436.0,1441.0,765.0,199.0,6.0,21.0,2.0,2.0,0.5915435139573071,0.08169129720853859,0.31403940886699505
1131116,34,0.6470588235294118,0.35294117647058826,3122,2019,784.0,225.0,12.0,33.0,0.0,49.0,2458.0,1492.0,717.0,168.0,12.0,30.0,0.0,39.0,0.6069975589910497,0.06834825061025224,0.29170056956875506
