GEOID,HISP,male,female,VAP,HVAP,NH_WHITEPOP,NH_BLACKPOP,NH_AMINPOP,NH_ASIANPOP,NH_HAWAIIANPOP,NH_OTHERPOP,NH_WVAP,NH_BVAP,NH_AMINVAP,NH_ASIANVAP,NH_HAWAIIANVAP,NH_OTHERVAP,TOTPOP
481130001003008,2,33.0,29.0,38.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,62
481130001003009,1,9.0,12.0,18.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,21
481130001003010,0,12.0,13.0,17.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,25
481130001003011,3,37.0,26.0,47.0,1.0,58.0,0.0,0.0,2.0,0.0,0.0,44.0,0.0,0.0,2.0,0.0,0.0,63
481130001003013,6,37.0,32.0,45.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,69
481130001003014,10,27.0,33.0,38.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,60
481130001003015,3,31.0,30.0,33.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,61
481130001003016,5,14.0,21.0,28.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,35
481130001003017,4,20.0,21.0,31.0,2.0,36.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,41
481130001003018,0,24.0,26.0,40.0,0.0,49.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,1.0,0.0,0.0,50
481130001003019,7,12.0,18.0,20.0,2.0,21.0,0.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,30
481130001003020,4,21.0,15.0,28.0,3.0,29.0,0.0,0.0,2.0,0.0,1.0,23.0,0.0,0.0,2.0,0.0,0.0,36
481130001003021,7,18.0,22.0,30.0,4.0,32.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,40
481130001003022,0,12.0,14.0,22.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,26
481130002011000,0,38.0,50.0,73.0,0.0,80.0,0.0,0.0,5.0,0.0,3.0,66.0,0.0,0.0,5.0,0.0,2.0,88
481130002011001,1,15.0,16.0,21.0,1.0,24.0,0.0,0.0,5.0,0.0,1.0,17.0,0.0,0.0,2.0,0.0,1.0,31
481130002011002,4,12.0,15.0,23.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,27
481130002011003,2,36.0,35.0,56.0,2.0,59.0,0.0,3.0,2.0,0.0,5.0,48.0,0.0,3.0,2.0,0.0,1.0,71
481130002011004,6,28.0,21.0,42.0,5.0,40.0,0.0,0.0,3.0,0.0,0.0,35.0,0.0,0.0,2.0,0.0,0.0,49
481130002011005,5,11.0,18.0,25.0,5.0,22.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,1.0,29
481130002011006,3,16.0,22.0,32.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,38
481130002011007,0,27.0,27.0,45.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,54
481130002011008,2,19.0,27.0,41.0,2.0,43.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,46
481130002011009,2,24.0,31.0,49.0,2.0,43.0,0.0,0.0,10.0,0.0,0.0,37.0,0.0,0.0,10.0,0.0,0.0,55
481130002011010,0,22.0,27.0,41.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,49
481130002011011,1,14.0,30.0,39.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,44
481130002011013,5,21.0,38.0,53.0,3.0,50.0,1.0,0.0,3.0,0.0,0.0,47.0,1.0,0.0,2.0,0.0,0.0,59
481130002011014,3,24.0,32.0,48.0,3.0,50.0,0.0,0.0,1.0,0.0,2.0,42.0,0.0,0.0,1.0,0.0,2.0,56
481130002011015,29,42.0,66.0,93.0,20.0,68.0,10.0,0.0,0.0,0.0,1.0,65.0,7.0,0.0,0.0,0.0,1.0,108
481130002011020,3,23.0,21.0,36.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,44
481130002012003,10,27.0,31.0,49.0,7.0,43.0,2.0,0.0,3.0,0.0,0.0,38.0,2.0,0.0,2.0,0.0,0.0,58
481130002012004,8,24.0,40.0,54.0,5.0,51.0,1.0,0.0,2.0,0.0,2.0,45.0,1.0,0.0,2.0,0.0,1.0,64
481130002012005,7,18.0,24.0,37.0,5.0,29.0,4.0,2.0,0.0,0.0,0.0,28.0,2.0,2.0,0.0,0.0,0.0,42
481130002012006,1,13.0,21.0,31.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,34
481130002012007,14,31.0,29.0,58.0,13.0,44.0,0.0,0.0,1.0,0.0,1.0,43.0,0.0,0.0,1.0,0.0,1.0,60
481130002012008,3,29.0,31.0,48.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,60
481130002012009,0,29.0,31.0,50.0,0.0,58.0,0.0,1.0,0.0,0.0,1.0,48.0,0.0,1.0,0.0,0.0,1.0,60
481130002012010,4,30.0,32.0,50.0,3.0,57.0,0.0,0.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,62
481130002012011,2,24.0,23.0,38.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,47
481130002012012,0,13.0,19.0,24.0,0.0,30.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,1.0,0.0,1.0,32
481130002012013,5,34.0,41.0,52.0,2.0,69.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,75
481130002012014,7,24.0,36.0,49.0,5.0,51.0,0.0,1.0,1.0,0.0,0.0,42.0,0.0,1.0,1.0,0.0,0.0,60
481130002012015,1,9.0,13.0,19.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,22
481130002012016,6,15.0,18.0,28.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,33
481130002012017,2,18.0,22.0,30.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,40
