ratio,var,type,eps
2.0473019619356996,50678.5954146008,bt,1.0
1.7184349363826854,42537.87204155895,bt,1.0
1.974199142897177,48869.01956374914,bt,1.0
1.9135367095371834,47367.39109160642,bt,1.0
2.241672570079909,55490.01531932107,bt,1.0
1.8000723261130036,44558.71133237619,bt,1.0
1.4960607239673225,37033.25525753389,bt,1.0
1.9837331802996003,49105.02364774281,bt,1.0
1.7924406242601434,44369.79736769641,bt,1.0
1.9014883750102023,47069.148486331265,bt,1.0
1.8472629748564409,45726.861336374626,bt,1.0
2.145318075745088,53104.8711024143,bt,1.0
1.7619398420207941,43614.785732053104,bt,1.0
1.539929370039586,38119.17292235191,bt,1.0
1.719012370380087,42552.1657532229,bt,1.0
1.708235925674287,42285.407311426316,bt,1.0
1.7926130863407217,44374.06646730579,bt,1.0
1.7824999150265746,44123.72659223254,bt,1.0
1.7392526803190098,43053.19124801164,bt,1.0
1.4981993694953264,37086.19495742383,bt,1.0
1.4867296164081543,36802.27446742411,bt,1.0
1.4342148588984818,35502.33230031347,bt,1.0
1.6933893463637928,41917.89738853447,bt,1.0
1.6341111962703783,40450.535249795656,bt,1.0
1.851908873702766,45841.865196258324,bt,1.0
1.3370716811519099,33097.66513648559,bt,1.0
1.774487180623539,43925.38060686937,bt,1.0
2.027725115054915,50193.99318151017,bt,1.0
1.930220340722797,47780.37511185457,bt,1.0
1.5455559475484464,38258.45234983354,bt,1.0
1.5827671525996183,39179.57275158174,bt,1.0
1.5525845346608644,38432.4369057169,bt,1.0
1.7657113618935336,43708.145350361665,bt,1.0
1.4939027677969472,36979.83754499603,bt,1.0
2.0660727912790247,51143.24561450949,bt,1.0
1.666879939235418,41261.687633687354,bt,1.0
1.5038776420846818,37226.75403691481,bt,1.0
1.8170941737385138,44980.06750995079,bt,1.0
1.827726031063662,45243.24685813913,bt,1.0
1.763215409990629,43646.3609438533,bt,1.0
1.768746510450092,43783.276947253995,bt,1.0
1.575482981610216,38999.261512025434,bt,1.0
1.8289247416348928,45272.91955380791,bt,1.0
1.8758592076967826,46434.72805141806,bt,1.0
1.6558162511779069,40987.818814487946,bt,1.0
1.6053926804198335,39739.641560072676,bt,1.0
1.5848409583384502,39230.9074173813,bt,1.0
1.624710351587724,40217.828197741015,bt,1.0
1.323560749317685,32763.217624183337,bt,1.0
1.7402908311066192,43078.88947168494,bt,1.0
1.5772833601443432,39043.82780318353,bt,1.0
1.8513855578847926,45828.91111761911,bt,1.0
1.512229561791016,37433.49616269891,bt,1.0
2.0615775333140514,51031.970695652024,bt,1.0
1.7359913923935644,42972.46183223562,bt,1.0
1.786030676163132,44211.12650610553,bt,1.0
1.7159460041181651,42476.26139809104,bt,1.0
1.983792225478742,49106.485242954725,bt,1.0
1.764324362602521,43673.811784909936,bt,1.0
1.6830523653256484,41662.017362246006,bt,1.0
1.9161276913382137,47431.527853482454,bt,1.0
1.8388935463124445,45519.685799537074,bt,1.0
1.7398667497441085,43068.39182737397,bt,1.0
1.8626588753635802,46107.96907101825,bt,1.0
1.930190573779034,47779.63826554282,bt,1.0
1.4871430195708828,36812.5077852329,bt,1.0
1.5230030242267272,37700.18078184399,bt,1.0
1.7916259437302682,44349.63089214306,bt,1.0
1.6370266461550365,40522.703844318195,bt,1.0
1.6263779333102208,40259.10725720877,bt,1.0
1.9354801679360678,47910.57605936894,bt,1.0
1.7141066968560825,42430.73147123546,bt,1.0
1.6421831884612248,40650.34809325278,bt,1.0
1.394363387300958,34515.85514974315,bt,1.0
1.3702514883873806,33918.992941608696,bt,1.0
1.6701170758815103,41341.81921243794,bt,1.0
1.5007604102501226,37149.59056328253,bt,1.0
2.067477773411073,51178.02432442071,bt,1.0
1.80063336362103,44572.59916788376,bt,1.0
2.024469923964062,50113.414685832584,bt,1.0
1.926602686079514,47690.82424958541,bt,1.0
1.8881600207617917,46739.220471287,bt,1.0
1.7224630500571794,42637.58334306168,bt,1.0
1.693330907136865,41916.45079296973,bt,1.0
1.9370262313437365,47948.84707330793,bt,1.0
1.7203299728801644,42584.781481268976,bt,1.0
1.304743549932613,32297.41958744903,bt,1.0
1.4047916003767493,34773.99351974969,bt,1.0
1.691433547504958,41869.48384675018,bt,1.0
1.6756740002581925,41479.37445708253,bt,1.0
1.8584993326828336,46005.00439626748,bt,1.0
2.31688218029613,57351.74235241294,bt,1.0
1.7618281507223805,43612.02094296538,bt,1.0
1.7121663292511673,42382.699912318705,bt,1.0
1.6098306312873147,39849.49790792198,bt,1.0
1.5514091236115677,38403.34096280243,bt,1.0
2.1173777786786028,52413.24131984066,bt,1.0
1.814760787709716,44922.307233890824,bt,1.0
1.8263004329847723,45207.95782427547,bt,1.0
1.5982170707487555,39562.017630562135,bt,1.0
1.883574845122842,46625.719744266,bt,1.0
1.3816131570311365,34200.2379260502,bt,1.0
2.1057032494224006,52124.25183229502,bt,1.0
1.6436467863058724,40686.57776742769,bt,1.0
1.7777669061360106,44006.566423816636,bt,1.0
1.5537429557023832,38461.11228061245,bt,1.0
1.785704461691401,44203.05144363863,bt,1.0
1.8322113272648655,45354.27518504042,bt,1.0
1.9570149965491703,48443.645868755695,bt,1.0
1.706249688050295,42236.240293167626,bt,1.0
1.9114713834177834,47316.266328991864,bt,1.0
1.6854286353057952,41720.83918099025,bt,1.0
1.0,24753.84499054785,bt,1.0
5.215900192226749,5603.888231100245,eq,2.0
5.5906998101545415,6006.567555957065,eq,2.0
8.585384383564655,9224.013637805107,eq,2.0
5.929426529406655,6370.49067672632,eq,2.0
6.78149100234653,7285.9365050729575,eq,2.0
6.184492704122003,6644.530110373704,eq,2.0
6.918444824128842,7433.077723617335,eq,2.0
5.828989599985641,6262.582682706599,eq,2.0
